Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
335,518,411,579,634,579,394,761,668,731,342,792,702,792,480,883,582,883,480,1127,565,1127,497,1249,548,1280,731,0
304,518,411,579,634,548,394,731,668,731,325,792,720,761,480,883,582,883,462,1036,565,1097,497,1249,565,1280,731,0
304,487,411,548,634,548,377,731,668,700,308,792,720,761,480,883,582,883,480,1066,582,1097,497,1249,565,1280,731,0
274,487,411,548,634,548,377,700,685,700,308,761,737,731,480,914,582,883,480,1097,565,1219,480,1249,565,1401,731,0
274,487,411,548,634,548,360,700,685,700,274,761,754,700,480,914,582,883,480,1097,565,1219,480,1249,582,1401,731,0
304,487,411,548,634,548,360,700,702,670,274,731,788,700,480,914,582,914,497,1249,582,1219,497,1249,582,1401,731,0
304,518,377,579,600,579,342,731,651,700,308,761,651,761,428,914,548,914,445,1097,548,1219,462,1249,531,1249,731,0
335,518,377,579,600,579,342,761,651,731,308,792,651,761,428,944,548,944,462,1249,548,1249,462,1249,531,1249,761,0
335,518,377,609,600,609,342,761,651,792,308,792,651,792,445,944,548,944,480,1280,548,1249,462,1249,548,1401,761,0
335,518,360,609,600,609,342,761,651,761,308,822,668,792,445,1005,548,975,480,1280,548,1249,462,1249,548,1432,792,0
335,518,360,579,600,579,342,761,651,731,291,822,685,792,445,944,548,944,428,975,548,1249,480,1249,531,1280,792,0
304,487,360,579,600,579,325,731,651,700,257,792,702,731,428,944,548,944,462,1249,548,1249,462,1249,548,1280,761,0
274,457,360,518,600,518,325,700,651,670,240,761,702,700,428,914,531,914,462,1249,548,1249,462,1280,531,1280,731,0
